modifier,count
black,134
good,85
great,83
first,83
whole,56
beautiful,48
best,43
little,35
short,34
entire,33
other,32
favorite,31
interesting,31
wonderful,26
long,26
amazing,22
full,20
second,19
new,19
difficult,18
written,18
favourite,16
only,15
brilliant,14
fantastic,14
secret,13
strange,13
easy,12
same,12
excellent,12
powerful,12
particular,11
bad,11
important,11
boring,11
special,11
profound,10
single,10
rich,10
perfect,10
worth,10
last,9
unfinished,9
small,8
most,8
dense,8
better,8
big,8
pamuk,8
deep,7
magical,7
81st,7
incredible,7
third,7
fine,6
unique,6
more,6
entertaining,6
next,6
memorable,6
actual,6
different,6
famous,6
marvelous,6
such,6
huge,6
worst,6
fourth,6
tiny,5
awful,5
own,5
tough,5
2nd,5
classic,5
hard,5
nice,5
lovely,5
simple,5
provoking,4
dark,4
read,4
massive,4
previous,4
remarkable,4
fabulous,4
mysterious,4
intelligent,4
certain,4
unusual,4
imaginative,4
stupid,4
thick,4
illustrated,4
philosophical,4
wrong,4
serious,4
audio,4
fifth,4
challenging,4
dangerous,4
enjoyable,4
changing,4
detective,3
superb,3
worthless,3
sad,3
replete,3
clever,3
gorgeous,3
cool,3
magnificent,3
fascinating,3
easiest,3
fictional,3
open,3
cute,3
fun,3
bizarre,3
astonishing,3
controversial,3
gloomy,3
reading,3
confusing,3
rare,3
1st,3
spiritual,3
relevant,3
lost,3
complex,3
sweet,3
influential,3
audible,3
poetic,3
popular,3
disturbing,2
light,2
old,2
greatest,2
inspirational,2
melancholy,2
rife,2
dostoevsky,2
loooong,2
hyped,2
resplendent,2
finished,2
meaningless,2
marvellous,2
concerned,2
dumbest,2
7th,2
historical,2
awesome,2
fluent,2
worthwhile,2
layered,2
adventurous,2
tiresome,2
phenomenal,2
funny,2
reminiscent,2
later,2
relatable,2
charming,2
immense,2
damn,2
curious,2
complicated,2
chaotic,2
right,2
successful,2
fat,2
odd,2
typical,2
mammoth,2
dear,2
counter,2
hilarious,2
translated,2
readable,2
demented,2
normal,2
decent,2
hated,2
symbolic,2
weird,2
stunning,2
smaller,2
horrible,2
necessary,2
final,2
heavy,2
absolute,2
modernism,2
precious,2
accessible,2
tedious,2
latter,2
engrossing,2
physical,2
mushy,1
tricky,1
subtle,1
convoluted,1
eventful,1
laden,1
worthy,1
existentialist,1
masterful,1
super,1
large,1
leaden,1
5th,1
deluding,1
shitty,1
adorable,1
imperfect,1
atmospheric,1
realistic,1
haunting,1
100th,1
tiring,1
celebrated,1
talk,1
meticulous,1
traditional,1
informative,1
significant,1
smallish,1
romantic,1
stranger,1
praised,1
glad,1
sensational,1
hateful,1
alive,1
presented,1
rewarding,1
fastest,1
voluminous,1
happy,1
blasphemous,1
required,1
compelling,1
appignanesi,1
metaphysical,1
sloppy,1
contemporary,1
acclaimed,1
lyrical,1
explanatory,1
found,1
sentimental,1
secretive,1
overlong,1
meditative,1
freaking,1
mutant,1
detailed,1
121st,1
mini,1
nutty,1
conventional,1
pathetic,1
breaking,1
extraordinary,1
seductive,1
cosmic,1
stupidest,1
absurd,1
anarchic,1
pleasurable,1
insightful,1
due,1
peculiar,1
6th,1
insufferable,1
crappiest,1
wordy,1
bleak,1
pointless,1
crafted,1
unorthodox,1
fair,1
mature,1
must,1
dumb,1
standard,1
evocative,1
pretty,1
exhausting,1
terrible,1
comical,1
complete,1
common,1
damned,1
alienating,1
innovative,1
various,1
military,1
engaging,1
intricate,1
nostalgic,1
solid,1
about,1
en,1
fancy,1
sartre,1
less,1
sane,1
n’t,1
closed,1
unquestionable,1
known,1
gigantic,1
winning,1
okay,1
frustrating,1
unforgettable,1
3rd,1
ultimate,1
commissioned,1
exceptional,1
many,1
surreal,1
smart,1
istanbul,1
dimensional,1
momentous,1
obscure,1
coherent,1
lighter,1
utterly,1
latest,1
simplest,1
superior,1
dull,1
sturm,1
very,1
original,1
multi,1
unpleasant,1
specific,1
newest,1
burning,1
paired,1
priced,1
hopeful,1
lengthy,1
shoddy,1
mad,1
young,1
plotted,1
idiosyncratic,1
creepy,1
holy,1
polished,1
underwhelming,1
fucking,1
bigger,1
captivating,1
predictable,1
autobiographical,1
fiction,1
dublin,1
apocryphal,1
ample,1
boggling,1
courageous,1
like,1
released,1
ordinary,1
biggest,1
luscious,1
political,1
satisfying,1
4th,1
homeric,1
empty,1
longest,1
banned,1
salman,1
sitting,1
academic,1
real,1
strangest,1
the,1
supposed,1
selling,1
likeable,1
murky,1
ok,1
slow,1
fragmentary,1
educational,1
dislikable,1
elegant,1
dogmatic,1
intriguing,1
direct,1
critical,1
erudite,1
quotable,1
confused,1
wise,1
exciting,1
longer,1
kind,1
mediocre,1
insane,1
definitive,1
each,1
usual,1
earlier,1
ambitious,1
instrumental,1
painful,1
recommended,1
