modifier,count
other,107
many,49
favorite,37
best,26
few,17
good,15
top,14
previous,13
such,11
read,11
great,11
favourite,10
old,10
most,9
more,9
beautiful,8
long,8
first,8
pamuk,7
several,7
new,5
historical,5
different,5
rare,5
famous,4
big,4
strangest,4
acclaimed,4
better,4
worst,4
older,4
countless,4
classic,3
influential,3
certain,3
unique,3
disturbing,3
provoking,3
short,3
written,3
powerful,3
wonderful,3
greatest,3
boring,3
whole,3
incredible,2
quotable,2
physical,2
only,2
various,2
inferior,2
inconsistent,2
authored,2
longer,2
magical,2
popular,2
foreign,2
dark,2
last,2
slow,2
interesting,2
early,2
later,2
worth,2
full,2
normal,2
memorable,2
decent,2
loved,2
easy,2
enough,2
entertaining,2
easier,1
rated,1
saddest,1
earliest,1
quick,1
scrubbed,1
kitty,1
complimentary,1
enriching,1
lovely,1
religious,1
thoughtful,1
censored,1
finest,1
selling,1
aleksandr,1
abandoned,1
similar,1
listed,1
started,1
separate,1
detective,1
unread,1
bigger,1
creative,1
comic,1
intelligent,1
earlier,1
allegorical,1
simple,1
poetic,1
surreal,1
profound,1
bizarre,1
banned,1
larger,1
hardest,1
mediocre,1
incomprehensible,1
challenging,1
excellent,1
5star,1
layered,1
spectacular,1
audio,1
amazing,1
accessible,1
dullest,1
significant,1
tedious,1
pivotal,1
printed,1
strange,1
proper,1
legendary,1
moving,1
hard,1
quirky,1
own,1
usual,1
former,1
harder,1
fair,1
ingenious,1
fine,1
illuminated,1
awakening,1
worthless,1
large,1
dense,1
difficult,1
educational,1
pamuks,1
liking,1
satiating,1
frustrating,1
erotic,1
brilliant,1
amateur,1
next,1
cold,1
orhan,1
digesting,1
guiding,1
miserable,1
veryyyy,1
aforementioned,1
holy,1
intense,1
open,1
hispanic,1
typical,1
beloved,1
