modifier,count
other,145
black,134
good,114
great,103
first,91
beautiful,80
best,72
favorite,68
whole,59
many,50
short,37
little,35
long,34
interesting,33
entire,33
wonderful,32
favourite,26
amazing,24
new,24
full,22
written,21
excellent,21
brilliant,20
difficult,19
second,19
pamuk,18
only,18
few,17
most,17
such,17
previous,17
more,16
powerful,15
read,15
boring,15
fantastic,14
top,14
easy,14
strange,14
rich,13
better,13
old,13
bad,13
secret,13
worth,12
same,12
big,12
profound,11
incredible,11
important,11
last,11
particular,11
special,11
different,11
dense,11
single,10
famous,10
worst,10
perfect,10
when,9
unique,9
lovely,9
unfinished,9
classic,9
magical,9
fine,9
memorable,8
poetic,8
rare,8
entertaining,8
small,8
own,8
simple,7
third,7
intelligent,7
actual,7
next,7
certain,7
historical,7
deep,7
81st,7
several,7
provoking,7
dark,6
fourth,6
hard,6
acclaimed,6
influential,6
marvelous,6
huge,6
even,6
nice,6
magnificent,5
tiny,5
strangest,5
reading,5
awful,5
tough,5
enjoyable,5
audio,5
2nd,5
later,5
greatest,5
popular,5
disturbing,5
challenging,5
older,4
stupid,4
massive,4
fifth,4
serious,4
decent,4
wrong,4
changing,4
bizarre,4
fascinating,4
dangerous,4
physical,4
unusual,4
slow,4
detective,4
worthless,4
tedious,4
exceptional,4
remarkable,4
philosophical,4
normal,4
creative,4
open,4
illustrated,4
fabulous,4
layered,4
countless,4
clever,4
thick,4
lyrical,4
imaginative,4
mysterious,4
american,3
fun,3
sweet,3
quotable,3
much,3
actually,3
typical,3
gloomy,3
complex,3
various,3
superb,3
accessible,3
dull,3
sad,3
audible,3
confusing,3
spiritual,3
stunning,3
relevant,3
usual,3
easiest,3
longer,3
elegant,3
controversial,3
gorgeous,3
surreal,3
mediocre,3
just,3
fictional,3
lost,3
here,3
astonishing,3
successful,3
cute,3
cool,3
replete,3
modern,3
all,3
where,3
1st,3
contemporary,2
weird,2
original,2
meaningless,2
precious,2
right,2
odd,2
modernism,2
light,2
banned,2
worthwhile,2
immense,2
rife,2
enough,2
demented,2
reminiscent,2
holy,2
horrible,2
hyped,2
wise,2
translated,2
heavy,2
awesome,2
significant,2
authored,2
eloquent,2
curious,2
fat,2
latter,2
complicated,2
earlier,2
resplendent,2
painful,2
inconsistent,2
bigger,2
charming,2
engrossing,2
necessary,2
atmospheric,2
fair,2
compulsively,2
hilarious,2
alone,2
readable,2
now,2
dumbest,2
damn,2
frustrating,2
dostoevsky,2
marvellous,2
compelling,2
inferior,2
finished,2
n’t,2
realistic,2
loooong,2
counter,2
fluent,2
concerned,2
tiresome,2
ever,2
adventurous,2
unpublished,2
recent,2
detailed,2
academic,2
7th,2
evocative,2
smaller,2
relatable,2
how,2
selling,2
inspirational,2
educational,2
funny,2
loved,2
absolute,2
chaotic,2
mammoth,2
large,2
hated,2
phenomenal,2
early,2
melancholy,2
foreign,2
dear,2
erotic,2
symbolic,2
over,2
critical,2
conventional,2
final,2
voluminous,2
usually,2
hateful,1
informative,1
insane,1
enriching,1
delightful,1
bleak,1
proper,1
innovative,1
aleksandr,1
liking,1
intriguing,1
each,1
dullest,1
erudite,1
postmodern,1
like,1
instrumental,1
rated,1
stupidest,1
therefore,1
comic,1
sudden,1
flat,1
simply,1
scrubbed,1
intense,1
anyway,1
raw,1
biggest,1
lighter,1
hopeful,1
sensational,1
uninterrupted,1
salman,1
convoluted,1
concentrated,1
young,1
highly,1
bravest,1
recommended,1
obscure,1
dogmatic,1
goethe,1
sane,1
unorthodox,1
murky,1
cold,1
existentialist,1
larger,1
evidently,1
religious,1
highbrow,1
spontaneous,1
talk,1
priced,1
fucking,1
