modifier,count
beautifully,110
well,106
ever,51
how,36
when,34
why,23
ago,19
just,15
again,13
only,12
originally,11
so,10
all,10
also,9
actually,8
brilliantly,8
even,8
where,7
really,7
then,6
simply,6
wonderfully,6
here,6
later,5
already,5
more,5
poorly,5
too,5
once,5
now,4
better,4
however,4
anyway,4
back,4
mostly,4
first,3
badly,3
very,3
nicely,3
usually,3
masterfully,3
always,3
gorgeously,3
perhaps,2
certainly,2
easily,2
probably,2
convincingly,2
beautiful,2
cleverly,2
instead,2
often,2
away,2
much,2
as,2
though,2
extensively,2
eloquent,2
amazingly,2
especially,2
exquisitely,2
clearly,2
above,2
mainly,2
poetically,2
harder,2
earlier,2
apart,2
intelligently,2
such,2
hardly,2
impressively,2
passionately,2
never,2
still,2
prior,2
stunningly,1
professionally,1
sure,1
seriously,1
maybe,1
clever,1
alone,1
basically,1
forever,1
quite,1
whenever,1
differently,1
pearl.s.buck,1
nowadays,1
entirely,1
indeed,1
straightforward,1
contemporaneously,1
samizdat,1
authoritatively,1
anymore,1
besides,1
extremely,1
consciously,1
lately,1
clumsily,1
ooooh,1
adequately,1
after,1
of,1
sad,1
exclusively,1
close,1
formally,1
ironically,1
doubt,1
georgeously,1
remarkably,1
superbly,1
quickly,1
throughout,1
smoothly,1
there,1
thankfully,1
worth,1
pamuk,1
elsewhere,1
absurdly,1
finely,1
romantically,1
before,1
astonishingly,1
outside,1
over,1
luminously,1
powerfully,1
perfectly,1
bravely,1
presentably,1
technically,1
decent,1
honestly,1
reportedly,1
ostensibly,1
down,1
far,1
richly,1
next,1
exactly,1
undeniably,1
skillfully,1
plainly,1
dreamily,1
truly,1
breathtakingly,1
lusciously,1
fortunately,1
fabulously,1
yet,1
imaginatively,1
truthfully,1
hurriedly,1
deliberately,1
deftly,1
awesome,1
definitely,1
