modifier,count
european,18
new,14
unique,14
simple,11
frankish,10
narrative,10
own,9
individual,8
personal,7
modern,7
islamic,7
venetian,7
western,6
artistic,5
epistolary,5
old,5
traditional,5
magical,4
poetic,4
different,4
beautiful,3
unusual,3
individualistic,3
same,3
lyrical,3
pompous,2
stenographic,2
staccato,2
close,2
original,2
like,2
reminiscent,2
literary,2
special,2
interesting,2
soviet,2
direct,2
quiet,2
distinctive,2
repetitive,2
similar,2
painting,2
oriental,2
laconic,2
journalistic,2
eastern,2
actual,2
certain,1
melancholic,1
only,1
witty,1
classical,1
poor,1
exceptional,1
such,1
digestible,1
intriguing,1
essential,1
elegant,1
profound,1
multilayered,1
operatic,1
oversimplified,1
indulgent,1
epical,1
immutable,1
conscious,1
long,1
ornate,1
formal,1
painstaking,1
powerful,1
particular,1
immaculate,1
folklike,1
boring,1
light,1
working,1
graceful,1
omniscent,1
readable,1
prose,1
dark,1
surreal,1
painterly,1
fable,1
inquisitive,1
declarative,1
great,1
rich,1
enchanting,1
innovative,1
delightful,1
lush,1
elevated,1
pure,1
allegory,1
called,1
filled,1
unconventional,1
stiff,1
pamuk,1
first,1
write,1
ascetic,1
precipitous,1
recognizable,1
fic,1
spare,1
sparse,1
exotic,1
smooth,1
orhan,1
complete,1
changing,1
amateur,1
meta,1
allegorical,1
specific,1
breathless,1
documentary,1
pooh,1
grand,1
good,1
enjoyable,1
conventional,1
transparent,1
perfect,1
meticulous,1
straightforward,1
ominous,1
simplistic,1
excessive,1
key,1
standard,1
wise,1
comfortable,1
afghan,1
cultural,1
absurd,1
fine,1
dramatic,1
essayistic,1
intentional,1
honest,1
american,1
shooting,1
odd,1
visual,1
conversational,1
choppy,1
top,1
frank,1
ensuing,1
verbose,1
significant,1
shifting,1
dense,1
nonsensical,1
engaging,1
nice,1
peculiar,1
