modified,number_of_nonunique_modifiers,number_of_unique_modifiers,unique_to_nonunique_ratio
book,1911,418,0.21873364730507588
books,625,165,0.264
written,502,120,0.23904382470119523
style,334,162,0.48502994011976047
writing,267,146,0.5468164794007491
writer,226,121,0.5353982300884956
writers,162,69,0.42592592592592593
translation,141,81,0.574468085106383
author,128,78,0.609375
write,116,53,0.45689655172413796
authors,104,40,0.38461538461538464
wrote,81,35,0.43209876543209874
translations,65,24,0.36923076923076925
translated,60,27,0.45
writes,52,25,0.4807692307692308
styles,18,15,0.8333333333333334
translators,16,15,0.9375
writings,16,13,0.8125
translator,12,11,0.9166666666666666
translates,6,4,0.6666666666666666
translate,6,5,0.8333333333333334
translating,1,1,1.0
