modifier,count
how,19
why,11
when,9
again,7
later,3
harder,2
well,2
really,2
better,2
too,2
ever,2
now,2
even,2
usually,2
here,2
simply,2
ostensibly,1
doubt,1
honestly,1
after,1
nowadays,1
maybe,1
decent,1
instead,1
adequately,1
ooooh,1
imaginatively,1
outside,1
more,1
also,1
beautifully,1
cleverly,1
awesome,1
then,1
bravely,1
back,1
only,1
just,1
extensively,1
convincingly,1
samizdat,1
anymore,1
all,1
soon,1
away,1
next,1
truly,1
perhaps,1
actually,1
forever,1
mainly,1
where,1
over,1
whenever,1
