modifier,count
great,23
talented,8
good,8
intelligent,7
gifted,6
other,5
known,4
amazing,4
wonderful,4
brilliant,4
favorite,4
best,4
famous,4
young,3
winning,3
major,3
successful,3
masterful,3
prolific,3
contemporary,3
first,3
outside,2
influenced,2
skillful,2
aging,2
pale,2
undisciplined,2
only,2
yet,2
probably,2
awesome,2
persecuted,2
modern,2
beautiful,2
new,2
important,2
evocative,2
most,2
mediocre,1
didactic,1
foreign,1
powerful,1
poor,1
american,1
just,1
about,1
cuban,1
flawed,1
lonely,1
medieval,1
perceptive,1
austere,1
selling,1
once,1
comparable,1
emerging,1
classic,1
exceptional,1
enticing,1
former,1
experienced,1
renowned,1
alive,1
is,1
favourite,1
pure,1
dead,1
original,1
thwarted,1
tough,1
controlled,1
special,1
older,1
european,1
erudite,1
practically,1
jewish,1
wwii,1
established,1
living,1
such,1
superior,1
wise,1
active,1
incredible,1
fair,1
bad,1
average,1
feckless,1
popular,1
skilled,1
fantastic,1
cooler,1
controversial,1
failed,1
though,1
excellent,1
budding,1
fellow,1
imaginative,1
institutionalized,1
humourless,1
meritorious,1
accomplished,1
deft,1
aspiring,1
aside,1
soviet,1
comic,1
observant,1
old,1
fabulous,1
missing,1
perfect,1
mesmerizing,1
then,1
feted,1
elegant,1
lesser,1
sensitive,1
notorious,1
