modifier,count
many,16
great,14
other,12
greatest,8
worse,7
western,7
favorite,6
favourite,5
young,4
good,3
contemporary,3
talented,3
fellow,3
male,3
aging,2
various,2
second,2
wonderful,2
more,2
pale,2
best,2
modern,2
brilliant,2
famous,2
most,2
living,2
few,2
referenced,1
prominent,1
melancholic,1
interesting,1
able,1
finest,1
official,1
native,1
sagacious,1
american,1
garde,1
such,1
creative,1
diverse,1
reading,1
first,1
different,1
least,1
literary,1
gifted,1
classical,1
colombian,1
local,1
even,1
new,1
istanbul,1
memorable,1
jewish,1
only,1
certain,1
amazing,1
anyway,1
future,1
based,1
surrealistic,1
classic,1
aforementioned,1
admired,1
approoved,1
developing,1
poor,1
born,1
