modifier,count
beautiful,24
good,14
great,9
when,9
excellent,8
even,6
brilliant,5
poetic,4
wonderful,3
much,3
lovely,3
actually,3
all,3
modern,3
rich,3
lyrical,3
just,3
best,3
exceptional,3
here,3
american,3
where,3
creative,3
reading,2
ever,2
now,2
incredible,2
alone,2
over,2
compulsively,2
own,2
magnificent,2
usually,2
fine,2
dense,2
how,2
bad,2
elegant,2
eloquent,2
dull,2
intelligent,2
pamuk,2
other,2
simplistic,1
crisp,1
surreal,1
original,1
therefore,1
simply,1
wordier,1
actual,1
less.i,1
contemporary,1
more,1
why,1
probably,1
persuasive,1
concentrated,1
down,1
academic,1
amazing,1
unpublished,1
conventional,1
richer,1
flat,1
evidently,1
layered,1
painful,1
sudden,1
essential,1
blunt,1
clever,1
nice,1
later,1
erotic,1
of,1
altogether,1
better,1
cumbersome,1
simple,1
n’t,1
prophetically,1
spontaneous,1
talented,1
forcefully,1
anyway,1
goethe,1
vivid,1
florid,1
evocative,1
crunchy,1
classic,1
bravest,1
honest,1
stunning,1
previously,1
highbrow,1
slowly,1
successful,1
gradually,1
atmospheric,1
sophisticated,1
raw,1
styled,1
flowing,1
enjoyable,1
dry,1
recent,1
monumental,1
vibrant,1
usual,1
constantly,1
renowned,1
free,1
lucid,1
tedious,1
uninterrupted,1
postmodern,1
impeccable,1
deliberately,1
exquisite,1
again,1
scattered,1
acclaimed,1
slow,1
daily,1
boring,1
smooth,1
atrocious,1
realistic,1
strong,1
exuberant,1
only,1
then,1
unexceptional,1
fascinating,1
similarly,1
raising,1
highly,1
detailed,1
laudable,1
compelling,1
literary,1
wise,1
mediocre,1
currently,1
