book_id,review_id,sentence_id,token_id,modifier_id,modifier,modified,dependency_relation
b1,r134,s1925,t51474,m3,exact,translation,amod
b1,r218,s2681,t71276,m5,lousy,translation,amod
b2,r369,s4322,t113321,m6,feeling,translation,amod
b2,r497,s6237,t156241,m10,bad,translation,amod
b4,r1054,s11544,t293669,m14,loose,translation,amod
b4,r1238,s13016,t337267,m15,excellent,translation,amod
b5,r1335,s13435,t347776,m17,new,translation,amod
b5,r1338,s13645,t351077,m18,literal,translation,amod
b5,r1345,s13693,t352253,m19,difficult,translation,amod
b5,r1345,s13693,t352260,m20,newer,translation,amod
b5,r1351,s13723,t353377,m21,current,translator,amod
b5,r1351,s13723,t353393,m22,updated,translation,amod
b5,r1352,s13752,t354601,m23,new,translations,amod
b5,r1359,s13849,t356873,m25,gifted,translator,amod
b5,r1374,s13967,t359920,m26,difficult,translation,amod
b5,r1375,s13971,t359977,m27,good,translation,amod
b5,r1393,s14098,t362492,m28,good,translation,amod
b5,r1530,s15021,t385572,m29,other,translation,amod
b5,r1530,s15022,t385611,m30,available,translation,amod
b5,r1530,s15025,t385668,m31,different,translations,amod
b5,r1530,s15025,t385669,m32,different,translations,amod
b5,r1533,s15059,t386336,m33,great,translation,amod
b5,r1601,s15423,t393840,m35,new,translation,amod
b6,r1661,s15647,t399576,m36,exclusive,translator,amod
b6,r1661,s15650,t399648,m37,good,translation,amod
b6,r1687,s15943,t405604,m38,poor,translation,amod
b6,r1687,s15943,t405628,m39,taught,translator,amod
b6,r1687,s15944,t405685,m40,bad,translation,amod
b7,r1984,s17737,t448455,m43,new,translator,amod
b7,r1984,s17737,t448467,m44,erstwhile,translator,amod
b7,r2020,s18142,t458060,m45,readable,translation,amod
b7,r2020,s18142,t458062,m46,good,translation,amod
b7,r2038,s18359,t462310,m47,cultural,translation,amod
b7,r2146,s19152,t482232,m49,earlier,translations,amod
b7,r2146,s19152,t482255,m51,awkward,translation,amod
b7,r2150,s19205,t484119,m52,beautiful,translation,amod
b7,r2209,s19624,t496030,m54,stilted,translation,amod
b8,r2312,s19941,t502448,m55,first,translation,amod
b9,r2802,s23733,t597163,m57,exquisite,translation,amod
b9,r2802,s23733,t597184,m58,cumbersome,translators,amod
b9,r2810,s23781,t598426,m59,dated,translation,amod
b10,r3046,s25300,t628275,m61,different,translations,amod
b10,r3065,s25465,t631581,m62,older,translation,amod
b11,r3286,s27745,t679881,m64,good,translation,amod
b11,r3289,s27821,t681445,m65,bad,translation,amod
b11,r3289,s27828,t681784,m66,good,translation,amod
b11,r3289,s27829,t681794,m67,perfect,translation,amod
b11,r3346,s28756,t703424,m68,lovely,translation,amod
b11,r3368,s29013,t709728,m69,earlier,translations,amod
b11,r3500,s30344,t739962,m72,many,translations,amod
b13,r3906,s31900,t775754,m74,many,translations,amod
