date_scraped,book_id,review_id,reviewer_id,reviewer_name,review_date,rating,review
11/04/2021,b1,r301,20958695,Doug Phillips,"Mar 31, 2017",5,"I struggled to get through the first 20-30 pages, but was so glad I persisted. By the time I was close to the end, I couldn't stop reading. I loved the book. In the midst of a murder mystery and love story set in late 16th century Istanbul, artists in a workshop supported by the sultan debate the role and perspective of miniaturists in illustrating religious and secular texts. The lead characters and numerous well-developed supporting characters carry the story along through a wide range of perspectives and through engaging discussions about art, family and love."
11/04/2021,b1,r302,62996943,James Resendes,"May 03, 2018",4,"A murder mystery set in late 16th century Istanbul, this book is just as much about art history as it is historical fiction. I learned heaps about the influence of Venetian style and perspective on Ottoman art, which really serves as the basis of the entire plot.. But because there was such focus on painting as an art form, I did find it difficult to become wholly invested in the characters themselves, and in doing so, felt as though the tension building in the plot often fell flat. And as interested as I was in all of the philosophy of art, it made the novel a dense read, one I couldn’t just pick up and spend 10 mins with on my morning commute.. Lush, thoughtful, but definitely an okay-I’m-gonna-sit-down-and-rEAD-now kind of book."
11/04/2021,b1,r303,82964590,Nazanin Moayed,"Aug 06, 2018",4,"As it’s written on the back of the book, My Name is Red is a kaleidoscope journey to the intersection of art, religion, love, sex and power.. It took me around 2 months or more to read this book, but it was worth the time spent. Though it’s a thick book, it never bored me or made me tired, as every chapter was narrated by a different character, reading the same story from different points of view was really interesting to me. Moreover the author surprises you in every couple of chapters by coming up with something brilliant and new; such as an unpredictable event, a new character or revelation of a mystery. In my opinion what makes this book special is the proficiency of the author in characterization, not only main human characters like Black Effendi, Shekure, Eshter, Enishte Effendi and... have their very special and different features but also things! Some chapters are narrated by things like a coin, a painting, or even a color!. I highly recommend “My Name is Red” to those who take joy in reading tales like “One Thousand and One Night”. Stories that take to a whole new world full of colors, illuminations and delicate ornamentations..."
11/04/2021,b1,r304,79151982,Zvart,"Mar 28, 2019",5,"“My Name is Red"" by Orhan Pamuk has a creative structure and organizational scheme.. The characters are thoughtful and articulate, and they convey their ideas and beliefs powerfully, often doing so by addressing the reader directly.. I love reading Pamuk especially because I feel me part of this different culture, I mean Turkey and Islam it's something about which I really do not know a lot. So If you are a person who likes to discover different characters and cultures you must read this book :)"
11/04/2021,b1,r305,28503927,Greg Hickey,"Oct 21, 2020",3,"I like the idea of this book more than I liked this particular variation. Like Umberto Eco's The Name of the Rose, My Name Is Red is a literary, historical mystery that goes beyond the traditional whodunit and explores questions of religion, art and warring cultures. The multitude of shifting narrators and Pamuk's deft management of characters and clues makes for a well-crafted intellectual mystery. But ultimately, I'm just not that interested in 16th-century Turkish artwork, and that detracted from my enjoyment of the rest of the story."
11/04/2021,b1,r306,25644472,Snigdha Agarwal,"Dec 10, 2017",2,"Appreciate the writer's imagination that it actually takes one to the past. However, more than being a murder mystery it was just a repetitive rant on miniaturists and their life. The synopsis needs to improve on that front. After a few 100 pages it feels like a drag and I struggled to complete it. If it were a much smaller book, I would have rated it higher for its unique writing style and exemplar recreation of 16th century Persia in the reader's mind."
11/04/2021,b1,r307,110137050,Fuegoflames,"Feb 21, 2020",4,"I experienced a lot of friction while reading this novel. The writing is exceptional however, and Pamuk structures the novel in a way that forced me to slow down to truly understand the plot, especially when significant cultural factors are explored. I am not familiar with it, but I now have a better understanding of a fragment of Islamic / Turkish culture. The ending is not what I expected, or wanted, but it is nonetheless a 'good' read."
11/04/2021,b1,r308,3348872,CëRïSë,"Jan 30, 2017",2,"Although I didn't enjoy. The Three-Body Problem. , I thought it probably had interesting ideas that I wasn't quite bright enough to fully appreciate.. As an art historian, I was better able to appreciate the ideas in. My Name is Red. , and there were some good ones: about religious and secular motivation for various perspectives and styles; the connections between memory, blindness, and art; and differences between the Eastern and Western worlds. The story-telling technique of handing the narrative, like a baton, between various characters (including, in the first chapter, the soul of a recent murder victim, and later even objects and the unnamed murderer) was also an interesting approach.. Unfortunately, it just wasn't pleasurable reading. It was a slow slog, with a plot that was contemplative at best and deliberately foot-dragging at worst, and, most unforgivably, a host of characters that I simply couldn't care about at all, let alone like.. Reading challenge: #7, non-human characters; #10, mystery or thriller; #13, set in a different country; #20, non-American author; #29, set somewhere I've always wanted to visit; #41, author I've never read; #44, originally written in a different language."
11/04/2021,b1,r309,18183683,Khulud Khamis,"Jul 06, 2017",5,"This is a book worth spending a long time with. I spent more than two months with it, enjoying all the philosophy about art, representation of reality, solitude, and more. Pamuk goes really deep and it to let it all sink in slowly takes time. What was especially intriguing to me, as a writer, was the structure and the use of the multiple voices, especially the ones like the dog and the murdered man. This is a masterpiece."
11/04/2021,b1,r310,5826413,Coenraad,"Aug 02, 2017",5,"I know some readers found this novel heavy-going, confusing, etc - I relished the rich abundance of narrators, the detail about the time period, the different genres of stories weaved into each other. It is a favourtie, always to be reread - unfortunately, usually tomorrow!. Pamuk se karnaval van vertellers is een van my gunstelingromans ooit."
