date_scraped,book_id,review_id,reviewer_id,reviewer_name,review_date,rating,review
11/04/2021,b1,r2,614778,Ahmad Sharabiani,10/08/2010,5,"Benim Adım Kırmızı = My Name is Red, Orhan Pamuk. My Name Is Red is a 1998 Turkish novel by writer Orhan Pamuk translated into English by Erdağ Göknar in 2001.. Pamuk would later receive the 2006 Nobel Prize in Literature. The novel, concerning miniaturists in the Ottoman Empire of 1591, established Pamuk's international reputation and contributed to his Nobel Prize. The influences of Joyce, Kafka, Mann, Nabokov and Proust and above all Eco can be seen in Pamuk's work.. تاریخ نخستین خوانش: روز هشتم ماه آگوست سال 2010میلادی. عنوان: نام من سرخ؛ نویسنده اورهان پاموک؛ مترجم: عین الله غریب؛ تهران، چشمه، 1389؛ در 692ص؛ چاپ چهارم 1393؛ موضوع داستانهای نویسندگان ترکیه - سده 20م. عنوان: نام من سرخ؛ نویسنده: اورهان پاموک؛ مترجم تهمینه زاردشت؛ تهران، مروارید، 1391؛ در 594ص؛ چاپ دوم 1392؛. عنوان رمان «نام من سرخ» است، برگردان فارسی از «بنیم آدیم قیرمیزی»، شاید با عنوان دیگر هم چاپ شده باشد، نمیدانم.؛ متن و روش روایت، به قدری زیباست، که اگر بخواهم تکه ای را برگزینم، تا برای دل شما اینجا بکارم، تا سبز شود، باید همه ی کتاب را از ابتدا تا انتها بنویسم، «اورهان» در سال 2006میلادی، برنده ی جایزه نوبل ادبیات شده اند، شاید برای همین کتاب بوده، هوش از سرم پرید، دوباره، آغاز به خوانشش کرده ام.؛ «اورهان» جایی در همین کتاب مینویسند «تصویر و متن، رنگ و کلمه، با هم برادرند» «اورهان پاموک» مینویسند بعضیها میگویند «نام من سرخ»، یک رمان ایرانی ست، و من همیشه این را یک افتخار بزرگ، و تحسین میدانم.؛ هوش و ذکاوت نویسنده کم نظیر است.؛. تاریخ بهنگام رسانی 21/05/1399هجری خورشیدی؛ ا. شربیانی"
11/04/2021,b1,r256,47603548,Alex (ReadingBetweenTheNotes),16/09/2017,3,[blinding. (hide spoiler). ]
11/04/2021,b2,r333,614778,Ahmad Sharabiani,23/03/2012,4,"Kar = Snow, c2002, Orhan Pamuk. Snow, is a novel by Turkish writer Orhan Pamuk. Published in Turkish in 2002, it was translated into English by Maureen Freely and published in 2004.. The story encapsulates many of the political and cultural tensions of modern Turkey and successfully combines humor, social commentary, mysticism, and a deep sympathy with its characters.. Ka is a poet, who returns to Turkey after 12 years of political exile in Germany. He has several motives, first, as a journalist, to investigate a spate of suicides but also in the hope of meeting a woman he used to know.. Heavy snow cuts off the town for about three days during which time Ka is in conversation with a former communist, a secularist, a fascist nationalist, a possible Islamic extremist, Islamic moderates, young Kurds, the military, the Secret Service, the police and in particular, an actor-revolutionary. In the midst of this, love and passion are to be found.. Temporarily closed off from the world, a farcical coup is staged and linked melodramatically to a stage play. The main discussion concerns the interface of secularism and belief but there are references to all of Turkey's twentieth century history.. تاریخ نخستین خوانش: روز پانزدهم ماه دسامبر سال 2016میلادی. عنوان: برف (سکوت برف)؛ نویسنده: اورهان پاموک؛ برگردان شهرام دشتی، مشخصات نشر تهران، البرز، 1386، در 624ص، شابک 9789644425608؛ چاپ پیشین: با ترجمه سیمین موحد؛ نشر ورجاوند، 1385، در 687ص؛ شابک 9647656572؛ ترجمه از متن انگلیسی؛ موضوع: داستانهای نویسندگان ترک، ترکیه، سده 21م. برف؛ اثر «اورهان پاموک»؛ روایتگر داستانی عاشقانه است؛ که در پس زمینه ی مشوش «ترکیه» ی امروز، که سرشار است از تنشهای موجود میان سنت و اصلاح طلبی، دین و خدا ناباوری مدرن و…؛ روی میدهد؛. داستانی عاشقانه که در فضای زیبا – و البته بعضاً فریبکار- شهری مرزی، که درگیر برف و بوران شده؛ شکل می‌گیرد؛ «کا» شاعری تبعیدی ست، که به دلیل درگذشت مادر خویش، به «ترکیه» باز گشته است؛ پس از خاکسپاری مادر در «استانبول»، «کا» خبردار می‌شود، دختری که در زمان دانشجویی، از دور، عاشقش بوده، از همسرش جدا شده است، «کا» به قصد دیدار او، به شهر شمالی «قارص» سفر می‌کند؛ او خود را روزنامه نگار معرفی کرده، و به بهانه‌ ی تهیه ی گزارش، درباره‌ ی مسائلی از قبیل خودکشی‌های اخیر دختران جوان، و انتخابات شهرداری، که به زودی برگزار خواهد شد، وارد شهر می‌شود؛ «کا» دوباره «ایپک» را می‌بیند، و دوباره مسحور زیبایی‌ اش می‌شود، زیبایی‌ ای که به مراتب از آنچه که در یادش مانده بود، ناباورانه تر است؛ او به این نتیجه رسیده است، که «ایپک» پاسخ تمام رویاهای او هست، در مدت زمان اقامت کوتاهش در «قارص»، با بیقراری تمام، «ایپک» را دنبال می‌کند؛. در هتلی که مالکش پدر «ایپک» است، اتاقی کرایه می‌کند، تا از آن راه بتواند راحت‌تر «ایپک» را دیدار کند؛ پدر «ایپک»، «کا» را برای شام دعوت می‌کند، و «کا» با دیدن «ایپک»، بیشتر و بیشتر عاشقش می‌شود؛ «کا» به دلیل مصاحبه‌ هایی که برای گزارش نمایشی‌ اش، با مردم انجام می‌دهد، بلافاصله درگیر وقایع روز شهر می‌شود؛ نامزد پست شهرداری؛ که کسی نیست، جز همسر پیشین «ایپک»، و دوست سابق «کا»، به نام «موهتار»؛ خانواده‌ های قربانیان خودکشی‌ها؛ معاون رئیس پلیس؛ و حتی رهبر گروه تثاتر، «سونای زعیم»، که سالها پیش دوستی مختصری با «کا» داشته، و حالا برای اجرای نمایشی در سالن تئاتر ملی، در شهر است؛ «کا» بعضی از دانش آموزان دبیرستان مذهبی را، نیز دیدار می‌کند، دانش آموزانی که از او، به خاطر صحبت کردن، با دخترانی که حاضر به برهنه کردن سرهاشان نشده بودند، خوششان آمده است؛ آنها «کا» را به چند تن از رهبرانشان، «نجیب» و «فاضل»، که از قضا از طرفداران متعصب خواهر «ایپک»، «ردیفه» –عاشق سینه چاک و معشوقه ی تروریست اسلامی بدنام شهر، «آبی (بلو)»- هم هستند، معرفی می‌کنند؛ «کا» در مدت زمان کوتاهی که در «قارص» اقامت دارد، موفق می‌شود دل «ایپک» را به دست آورده، و چه زبانی و چه فیزیکی، عشقش را ابراز کند؛ این مسئله باعث می‌شود: «کا» بیش از هر زمان دیگری، در زندگی خویش احساس خوشبختی کند؛ با این حال، خوشبختی‌ او در سایه‌ ی تردیدهایی که در هر قدم، بر سر راهش قرار می‌گیرند، فرو می‌رود؛. البته یکی از ژرفترین اثرات این خوشبختی این است که «کا» دوباره توانایی سرودن پیدا کرده، و در مدت چند روز، نوزده شعر عاشقانه سروده، که بهترین اشعار عمرش نیز هستند، اشعاری که گویی از وجود کس دیگری سرچشمه می‌گیرند؛ یکی دیگر از مسائلی که «کا» در زمان اقامتش با آن مواجه می‌شود، کشمکشی است که در درونش در مورد اعتقاد به خدا وجود دارد؛ او بارها و بارها خود را خداناباور پنداشته، اما در زمان اقامتش در «قارص»، به دیدار شیخ اعظم شهر رفته، و عشقش به خدا را اعتراف می‌کند؛ با این حال، اسلام‌گرایان شهر، صحت ادعاهایش را به چالش کشیده، و او را متظاهری می‌خوانند، که تنها برای به دست آوردن نظر مثبت آنان، ادعای خداپرستی می‌کند؛ نهایتاً، در آخر، …؛. تاریخ بهنگام رسانی 15/09/1399هجری خورشیدی؛ ا. شربیانی"
11/04/2021,b3,r843,45755995,Kelly,07/08/2015,5,5 stars.
11/04/2021,b3,r880,129627057,이병우,03/02/2021,4,Good
11/04/2021,b3,r923,47187040,Murat,12/11/2017,5,"When I visited the museum, there is a section where the author, Orhan Pamuk, talks about the importance of the feelings that books provokes rather than the story itself. We hardly remember the details of the story shortly after reading the books but the emotions that arise submerge into our souls.. From the reviews, I see many non-Turkish readers are struggling to go through book. I respect all the non-Turkish readers who read or who are trying to read this book. I think it will be very hard to get the same taste that a Turkish who were raised in 60s or 70s and lived in Istanbul at some point in his / her life. You will get the story but not the same taste.. Lastly, you will truly enjoy the read, if you are person of obsessive nature.. ---. Masumiyet Müzesi'nde yazar Orhan Pamuk'un romanlardaki hikayeden çok o hikayenin bizde uyandırdığı duyguların romanı değerli kıldığından bahseden bir bölüm vardı. Romanı okuduktan kıs bir süre sonra hikayenin detaylarını unutuyoruz ama ama bizde uyandırdığı duygular ruhumunuzun derinliklerine işliyor.. Yorumlardan yabancı okurların kitaba devam etmekte zorlandığını görüyorum. Bu kitabı okumuş ya da okumaya çalışan yabancı okurların 60larda ya da 70lerde Türkiye'de büyümüş, hayatının bir döneminde dahi Istanbul'da yaşamış olanların aldığı hazzı yakalaması bence imkansız.. Son olarak, az da olsa takıntılı bir kişiliği olanların romandan daha çok keyif alacağını düşünüyorum"
11/04/2021,b3,r958,1108123,Bettie,27/04/2012,0,http://www.guardian.co.uk/books/galle...
11/04/2021,b4,r993,614778,Ahmad Sharabiani,07/02/2013,4,"Istanbul, Hatıralar ve Şehir = Istanbul: Memories and the City, 2005, Orhan Pamuk. Istanbul: Memories and the City is a largely autobiographical memoir by Orhan Pamuk that is deeply melancholic. It talks about the vast cultural change that has rocked Turkey – the unending battle between the modern and the receding past.. It is also a eulogy to the lost joint family tradition. Most of all, it is a book about Bosphorus and Istanbul's history with the strait. It was translated into English by Maureen Freely in 2005.. تاریخ نخستین خوانش: روز بیست و سوم ماه آوریل سال 2014 میلادی. عنوان: استانبول خاطرات و شهر؛ نویسنده: اورهان پاموک؛ مترجم شهلا طهماسبی؛ مشخصات نشر تهران، نیلوفر، 1391، در 495ص؛ مصور، شابک 9789644484704؛ کتاب از متن انگلیسی با عنوان بالا ترجمه شده است، موضوع: نویسندگان ترک سرگذشتنامه، استانبول ترکیه، سیر و سیاحت - سده 20م. کتاب «استانبول: شهر و خاطره‌ها»، یک خودزندگی‌نامه، اثری از «اورهان پاموک» است، که رگه‌هایی از مالیخولیا در آن دیده می‌شود؛ در این کتاب در مورد تغییرات فرهنگی گسترده در «ترکیه» سخن گفته می‌شود؛ «پاموک» این کتاب را هنگامی نوشتند، که افسردگی نزدیک بود سراسر روح و جسم وی را فراگیرد؛. در یک مصاحبه «پاموک» بیان کرد: نمی‌خواهم چندان به جزییاتی همانند: طلاق، مرگ پدر، مشکلات و دشواری‌های کاری، و از این قبیل، بپردازم، همه چیز بد پیش می‌رفت؛ گمان می‌کنم اگر ضعیف می‌بودم، افسردگی مرا فرامی‌گرفت؛ اما هر روز بیدار می‌شدم، یک دوش خنک می‌گرفتم، و به یادآوری، و نوشتن، مشغول می‌شدم، و به زیبایی و ظرافت کتاب بیشتر توجه می‌کردم؛ پایان نقل. یادمانهای شخصی ایشان، با اشاره‌ هایی به دیگر نویسندگان «استانبول»، در هم آمیخته شده‌ است؛ یک فصل کامل از کتاب، به «آنتونی ایگناس ملینگ» هنرمند سده ی نوزدهم میلادی اختصاص یافته‌ است، که حکاکی و قلم زنی‌هایی در «قسطنطنیه» انجام داده بود؛ نویسندگان مورد علاقه «پاموک»، که الهام بخش او بوده‌ اند، و شخصیت‌های کتاب او را، تشکیل می‌دهند: «یحیی کمال بیاتلی (نام اصلی احمد آگاه)»، «رشات اکرم کوچو»، «عبدالهاک شیناسی هیسار»، و «احمد حمدی تن پینار» هستند؛ عکس‌های کتاب توسط عکاس ارمنی «آرا گولر (از معروف‌ترین عکاسان دنیا)» تهیه شده‌ است؛ پاموک برهان انتخاب او را، وجود جو مالیخولیایی و اندوهناک در آثارش بیان کرده است؛. تاریخ بهنگام رسانی 30/03/1399هجری خورشیدی؛ ا. شربیانی"
11/04/2021,b4,r1087,32571395,R.,06/10/2017,4,Made me miss Istanbul.
11/04/2021,b4,r1156,880021,David Sasaki,27/04/2009,3,http://el-oso.net/blog/archives/2009/...
