book_id,review_id,sentence_id,token_id,modifier_id,modifier,modified,dependency_relation
b1,r24,s378,t11256,m1,french,translation,amod
b1,r97,s1562,t42065,m2,english,translation,amod
b1,r176,s2298,t61203,m4,arabic,translation,amod
b2,r369,s4323,t113386,m7,polish,translator,amod
b2,r425,s5403,t135902,m8,english,translation,amod
b2,r478,s6030,t151284,m9,english,translation,amod
b3,r673,s7906,t199219,m11,dutch,translation,amod
b3,r710,s8418,t213346,m12,english,translation,amod
b3,r852,s9726,t247297,m13,dutch,translation,amod
b4,r1273,s13115,t339183,m16,dutch,translation,amod
b5,r1354,s13803,t356042,m24,english,translation,amod
b5,r1601,s15422,t393791,m34,english,translations,amod
b6,r1761,s16728,t424971,m41,english,translation,amod
b6,r1824,s17094,t434446,m42,arabic,translation,amod
b7,r2079,s18589,t468029,m48,english,translation,amod
b7,r2146,s19152,t482233,m50,english,translations,amod
b7,r2163,s19343,t488322,m53,english,translation,amod
b8,r2476,s21551,t545208,m56,english,translation,amod
b10,r3046,s25293,t628128,m60,english,translation,amod
b11,r3283,s27642,t677961,m63,english,translation,amod
b11,r3397,s29271,t716100,m70,english,translation,amod
b11,r3471,s29845,t728965,m71,english,translations,amod
b11,r3523,s30509,t744602,m73,english,translation,amod
b13,r4102,s35318,t854511,m111,english,translation,amod
b13,r4112,s35444,t858296,m114,russian,translations,amod
b13,r4112,s35446,t858395,m116,english,translations,amod
b14,r4363,s38278,t920626,m127,english,translation,amod
b14,r4411,s38733,t933468,m128,english,translation,amod
b16,r4892,s43691,t1047380,m136,english,translation,amod
b16,r4971,s45685,t1090219,m151,norwegian,translation,amod
b16,r5025,s46572,t1108349,m157,english,translators,amod
b16,r5040,s46825,t1113614,m163,english,translation,amod
b16,r5060,s47247,t1123207,m167,english,translation,amod
b17,r5221,s48855,t1159918,m173,russian,translators,amod
b17,r5241,s49455,t1174296,m176,english,translations,amod
b17,r5241,s49455,t1174300,m177,french,translation,amod
b17,r5393,s52008,t1229121,m187,english,translation,amod
b18,r5679,s55968,t1323300,m204,french,translation,amod
b18,r5679,s55968,t1323310,m205,english,translation,amod
b18,r5820,s57614,t1363411,m207,english,translation,amod
b19,r6002,s59287,t1406111,m217,english,translation,amod
b1,r38,s692,t18256,m381,turkish,author,amod
b1,r64,s1050,t28264,m417,turkish,author,amod
b1,r141,s1940,t51699,m498,turkish,writers,amod
b1,r155,s2186,t58296,m532,turkish,author,amod
b1,r159,s2219,t59164,m534,persian,book,amod
b1,r161,s2233,t59531,m537,turkish,author,amod
b1,r166,s2262,t60314,m544,turkish,author,amod
b1,r171,s2285,t60914,m547,chinese,styles,amod
b1,r246,s2946,t79170,m617,turkish,author,amod
b1,r252,s3065,t83421,m632,turkish,writer,amod
b2,r344,s3526,t95198,m658,turkish,writer,amod
b2,r351,s3689,t98911,m667,russian,writer,amod
b2,r359,s3926,t104701,m676,turkish,writer,amod
b2,r367,s4199,t110720,m682,russian,writer,amod
b2,r367,s4208,t110874,m683,russian,writer,amod
b2,r367,s4257,t111580,m685,russian,writer,amod
b2,r408,s5001,t128025,m717,turkish,writer,amod
b2,r414,s5086,t130128,m721,russian,author,amod
b2,r500,s6273,t157167,m773,turkish,writer,amod
b2,r570,s6954,t174987,m828,turkish,writer,amod
b2,r622,s7480,t187980,m852,turkish,writer,amod
b3,r692,s8190,t206923,m884,turkish,author,amod
b3,r701,s8282,t209513,m893,turkish,writer,amod
b3,r751,s8858,t225044,m930,turkish,author,amod
b3,r814,s9477,t240966,m970,turkish,book,amod
b3,r845,s9600,t243750,m981,turkish,author,amod
b3,r888,s9920,t252054,m998,turkish,writing,amod
b4,r997,s10828,t276080,m1047,turkish,authors,amod
b4,r1001,s10871,t277238,m1052,french,writers,amod
b4,r1001,s10921,t278525,m1055,french,writer,amod
b4,r1015,s11073,t282151,m1067,french,writers,amod
b4,r1033,s11324,t288270,m1082,turkish,writer,amod
b4,r1056,s11582,t295053,m1113,french,writers,amod
b4,r1125,s12072,t310566,m1157,french,authors,amod
b4,r1143,s12145,t312213,m1164,turkish,authors,amod
b4,r1153,s12177,t312770,m1168,turkish,writer,amod
b4,r1166,s12203,t313071,m1170,turkish,writer,amod
b4,r1173,s12217,t313305,m1172,turkish,author,amod
b4,r1173,s12317,t316361,m1180,turkish,style,amod
b4,r1177,s12529,t322553,m1186,french,writers,amod
b4,r1181,s12601,t325301,m1190,turkish,authors,amod
b4,r1181,s12602,t325346,m1191,turkish,writers,amod
