book_id,review_id,sentence_id,review_sentence
b1,r6,s48,on-a-high version:.
b1,r6,s60,jackie chan:.
b1,r6,s62,sober version:.
b1,r8,s121,istanbul.
b1,r10,s144,must read.
b1,r12,s169,in daisies.
b1,r15,s211,moby dick.
b1,r15,s212,.
b1,r15,s215,not.
b1,r15,s218,it's not.
b1,r15,s222,just.
b1,r15,s224,replicate.
b1,r15,s237,brilliant!
b1,r16,s238,[.
b1,r16,s244,-wikipedia.
b1,r18,s274,i'd've.
b1,r20,s315,cheers!
b1,r21,s321,other colours.
b1,r23,s362,corpse.
b1,r23,s363,my.
b1,r23,s364,death.
b1,r23,s366,religion.
b1,r23,s368,black.
b1,r23,s370,memories.
b1,r23,s371,tree.
b1,r23,s373,meaning.
b1,r23,s374,black.
b1,r23,s377,god.
b1,r23,s379,black.
b1,r23,s381,stork.
b1,r23,s383,esther.
b1,r23,s384,does.
b1,r23,s385,love.
b1,r23,s387,esther.
b1,r23,s389,shekure.
b1,r23,s391,red.
b1,r23,s392,color.
b1,r23,s394,red.
b1,r23,s400,red.
b1,r23,s402,uncle.
b1,r23,s404,uncle.
b1,r23,s406,uncle.
b1,r23,s408,mystery.
b1,r23,s410,mercy.
b1,r23,s411,enishte.
b1,r23,s413,master.
b1,r23,s415,black.
b1,r23,s417,loneliness.
b1,r23,s418,murderer.
b1,r23,s420,murderer.
b1,r23,s421,it was.
b1,r23,s422,satan.
b1,r23,s424,i. !
b1,r23,s426,satan.
b1,r23,s428,satan.
b1,r23,s430,satan.
b1,r23,s432,pride.
b1,r23,s434,satan.
b1,r23,s436,shekure.
b1,r23,s438,black.
b1,r23,s441,woman.
b1,r23,s443,woman.
b1,r23,s445,stork.
b1,r23,s447,beauty.
b1,r23,s449,butterfly.
b1,r23,s451,black.
b1,r23,s453,olive.
b1,r23,s454,time.
b1,r23,s456,murderer.
b1,r23,s458,shekure.
b1,r28,s521,that is:.
b1,r29,s525,.
b1,r29,s530,right?!?
b1,r29,s531,right!?!?!?!.
b1,r31,s579,whodunnit?!.
b1,r31,s592,snow.
b1,r31,s593,and.
b1,r31,s594,istanbul.
b1,r32,s641,(i disagree.
b1,r33,s665,like molasses.
b1,r33,s668,hell no.
b1,r33,s672,or istanbul.
b1,r39,s722,segu.
b1,r41,s755,fabulous.
b1,r43,s761,etc.
b1,r45,s774,magister ludi.
b1,r45,s784,i.
b1,r45,s785,.
b1,r45,s811,shahnameh.
b1,r47,s859,(2.5 stars)
b1,r50,s871,why?
b1,r51,s891,snow.
b1,r51,s893,but whereas.
b1,r51,s894,snow.
b1,r51,s899,snow.
b1,r51,s900,"almost monochromatic,."
b1,r52,s920,well done!.
b1,r52,s923,*pamuk does.
b1,r52,s924,too.
b1,r53,s936,really terrific!.
b1,r54,s977,intrigued?
b1,r54,s980,https://plus.google.com/communities/1...
b1,r62,s1033,by.
b1,r62,s1034,orhan pamuk.
b1,r66,s1091,i'm fiery.
b1,r66,s1092,i'm strong.
b1,r66,s1101,🤔).
b1,r68,s1160,private.
b1,r68,s1163,https://anzlitlovers.com/2018/09/28/m...
b1,r69,s1170,for example:.
b1,r70,s1182,orhan pamuk.
b1,r70,s1185,miniaturists.
b1,r70,s1187,miniaturists.
b1,r70,s1191,pamuk.
b1,r70,s1195,pamuk.
b1,r70,s1196,'s genius.
b1,r70,s1199,☾☯
b1,r78,s1237,"the other,."
b1,r78,s1238,sacré bleu.
b1,r78,s1252,.
b1,r78,s1257,in.
b1,r78,s1260,in.
b1,r78,s1282,what.
b1,r78,s1283,is.
b1,r78,s1284,"style, anyway?"
b1,r78,s1289,personal.
b1,r79,s1314,why?
b1,r79,s1352,thank you.
b1,r81,s1371,it dragged.
b1,r88,s1418,tawaf.
b1,r88,s1424,meshkahs.
b1,r88,s1426,madrasah.
b1,r88,s1427,next door.
b1,r97,s1569,fascinating symbolism.
b1,r99,s1581,---.
