book_id,review_id,sentence_id,token_id,modifier_id,modifier,modified,dependency_relation
b1,r24,s378,t11256,m1,french,translation,amod
b1,r98,s1629,t43653,m2,english,translation,amod
b1,r135,s1992,t53062,m3,exact,translation,amod
b1,r177,s2365,t62791,m4,arabic,translation,amod
b1,r219,s2748,t72864,m5,lousy,translation,amod
b2,r369,s4387,t114896,m6,feeling,translation,amod
b2,r369,s4388,t114961,m7,polish,translator,amod
b2,r425,s5468,t137477,m8,english,translation,amod
b2,r478,s6095,t152859,m9,english,translation,amod
b2,r498,s6315,t158242,m10,bad,translation,amod
b3,r673,s7974,t200930,m11,dutch,translation,amod
b3,r710,s8486,t215057,m12,english,translation,amod
b3,r853,s9806,t249449,m13,dutch,translation,amod
b4,r1055,s11658,t296490,m14,loose,translation,amod
b4,r1243,s13163,t340918,m15,excellent,translation,amod
b4,r1279,s13266,t342888,m16,dutch,translation,amod
b5,r1335,s13578,t351370,m17,new,translation,amod
b5,r1338,s13788,t354671,m18,literal,translation,amod
b5,r1345,s13836,t355847,m19,difficult,translation,amod
b5,r1345,s13836,t355854,m20,newer,translation,amod
b5,r1351,s13866,t356971,m21,current,translator,amod
b5,r1351,s13866,t356987,m22,updated,translation,amod
b5,r1352,s13895,t358195,m23,new,translations,amod
b5,r1354,s13946,t359636,m24,english,translation,amod
b5,r1359,s13992,t360467,m25,gifted,translator,amod
b5,r1374,s14110,t363514,m26,difficult,translation,amod
b5,r1375,s14114,t363571,m27,good,translation,amod
b5,r1393,s14241,t366086,m28,good,translation,amod
b5,r1533,s15174,t389335,m29,other,translation,amod
b5,r1533,s15175,t389374,m30,available,translation,amod
b5,r1533,s15178,t389431,m31,different,translations,amod
b5,r1533,s15178,t389432,m32,different,translations,amod
b5,r1537,s15217,t390420,m33,great,translation,amod
b5,r1605,s15580,t397875,m34,english,translations,amod
b5,r1605,s15581,t397924,m35,new,translation--,amod
b6,r1661,s15788,t403460,m36,exclusive,translator,amod
b6,r1661,s15791,t403532,m37,good,translation,amod
b6,r1687,s16084,t409488,m38,poor,translation,amod
b6,r1687,s16084,t409512,m39,taught,translator,amod
b6,r1687,s16085,t409569,m40,bad,translation,amod
b6,r1761,s16869,t428855,m41,english,translation,amod
b6,r1824,s17235,t438330,m42,arabic,translation,amod
b7,r1984,s17864,t452196,m43,new,translator,amod
b7,r1984,s17864,t452208,m44,erstwhile,translator,amod
b7,r2020,s18269,t461801,m45,readable,translation,amod
b7,r2020,s18269,t461803,m46,good,translation,amod
b7,r2038,s18486,t466051,m47,cultural,translation,amod
b7,r2079,s18716,t471770,m48,english,translation,amod
b7,r2146,s19279,t485973,m49,earlier,translations,amod
b7,r2146,s19279,t485974,m50,english,translations,amod
b7,r2146,s19279,t485996,m51,awkward,translation,amod
b7,r2150,s19332,t487860,m52,beautiful,translation,amod
b7,r2164,s19492,t492487,m53,english,translation,amod
b7,r2211,s19777,t500322,m54,stilted,translation,amod
b8,r2312,s20090,t506724,m55,first,translation,amod
b8,r2476,s21700,t549484,m56,english,translation,amod
b9,r2804,s23915,t602476,m57,exquisite,translation,amod
b9,r2804,s23915,t602497,m58,cumbersome,translators,amod
b9,r2812,s23963,t603739,m59,dated,translation,amod
b10,r3023,s25511,t633982,m60,english,translation,amod
b10,r3023,s25518,t634129,m61,different,translations,amod
b10,r3043,s25684,t637459,m62,older,translation,amod
b11,r3289,s27869,t684060,m63,english,translation,amod
b11,r3292,s27972,t685980,m64,good,translation,amod
b11,r3296,s28068,t687968,m65,bad,translation,amod
b11,r3296,s28075,t688307,m66,good,translation,amod
b11,r3296,s28076,t688317,m67,perfect,translation,amod
b11,r3353,s29003,t709947,m68,lovely,translation,amod
b11,r3375,s29260,t716251,m69,earlier,translations,amod
b11,r3405,s29534,t723053,m70,english,translation,amod
b11,r3477,s30082,t735069,m71,english,translations,amod
b11,r3506,s30581,t746066,m72,many,translations,amod
b11,r3529,s30746,t750706,m73,english,translation,amod
b12,r3653,s32171,t783540,m74,english,translation,amod
b12,r3659,s32283,t786303,m75,particular,translation,amod
b13,r3920,s35192,t859754,m76,many,translations,amod
b13,r3920,s35192,t859755,m77,different,translations,amod
b13,r3920,s35193,t859835,m78,many,translations,amod
b13,r3932,s35478,t865213,m79,new,translation,amod
b13,r3945,s35804,t873095,m80,better,translation,amod
b13,r3945,s35804,t873108,m81,impeccable,translations,amod
b13,r3945,s35816,t873606,m82,many,translations,amod
b13,r3945,s35852,t874279,m83,weird,translation,amod
b13,r3945,s35864,t874535,m84,different,translations,amod
b13,r3947,s35892,t875716,m85,glenny,translation,amod
b13,r3949,s35931,t876619,m86,different,translations,amod
b13,r3984,s36468,t890678,m87,uninspired,translations,amod
b13,r3999,s36928,t900943,m88,best,translation,amod
b13,r3999,s36931,t901016,m89,original,translations,amod
b13,r3999,s36933,t901062,m90,modern,translations,amod
b13,r3999,s36933,t901073,m91,celebrity,translator[s,amod
b13,r3999,s36934,t901084,m92,celebrity,translators,amod
b13,r4002,s36994,t902618,m93,flowing,translation,amod
b13,r4002,s36994,t902619,m94,idiomatic,translation,amod
b13,r4016,s37201,t907156,m95,particular,translation,amod
b13,r4018,s37240,t908154,m96,various,translations,amod
b13,r4036,s37606,t915534,m97,superior,translator,amod
b13,r4059,s37816,t921259,m98,viable,translations,amod
b13,r4059,s37823,t921395,m99,recent,translation,amod
b13,r4059,s37824,t921420,m100,other,translations,amod
b13,r4065,s37864,t922562,m101,crisp,translation,amod
b13,r4075,s37980,t925287,m102,poetic,translation,amod
b13,r4075,s37980,t925290,m103,literal,translation,amod
b13,r4075,s37981,t925298,m104,poetic,translation,amod
b13,r4075,s37981,t925301,m105,literal,translation,amod
b13,r4081,s38187,t928839,m106,other,translation,amod
b13,r4099,s38476,t935147,m107,hugh,translation,amod
b13,r4099,s38477,t935195,m108,volokhonsky,translations,amod
b13,r4099,s38478,t935273,m109,different,translation,amod
b13,r4111,s38619,t938731,m110,other,translations,amod
b13,r4111,s38619,t938732,m111,hard,translations,amod
b13,r4111,s38619,t938733,m112,copy,translations,amod
b13,r4117,s38659,t939528,m113,english,translation,amod
b13,r4127,s38784,t943282,m114,different,translations,amod
b13,r4127,s38785,t943312,m115,usual,translations,amod
b13,r4127,s38785,t943313,m116,russian,translations,amod
b13,r4127,s38787,t943411,m117,many,translations,amod
b13,r4127,s38787,t943412,m118,english,translations,amod
b13,r4135,s38896,t946410,m119,new,translation,amod
b13,r4164,s39410,t955984,m120,different,translations,amod
b13,r4169,s39439,t956579,m121,different,translations,amod
b13,r4169,s39439,t956600,m122,various,translations,amod
